total_claim_charge_amount,days_taken_for_claim_filing,patient_age,LOS,count_of_unique_HealthCareDiagnosisCode,mins_mean_quantity,count_of_holidays,count_of_lineitems,units_mean_quantity,noise
0.013046825731519041,0.01749223311112742,-0.008005602219221686,2.1666041188672656e-05,0.0010705345708769466,0.0,0.08960068712302052,0.014957693185643139,0.00018106620136262296,-0.006153929484773846
0.0018161235067573056,0.019834554811118,-0.005148334634352025,-0.0006466864717481147,-0.006254878820278098,0.0,0.10314353258034566,0.007123910011431744,0.00520900773582047,-0.004299651129666515
0.014812670042969068,0.02772702663806633,0.0035084533199926326,-0.0008878213255299027,0.004159156792467078,0.0,0.0956489559276037,0.014676293011876474,0.00018195026007581384,0.006616341943132864
0.033209222282088634,0.029529718297400132,0.00755482464958066,0.0004933615330797835,0.00907592218800013,0.0,0.10658820596537225,0.00021270436104254832,0.0022882807536730885,0.0030365658498926807
0.011915957543075284,0.019641187372852108,0.004909961692244291,-0.00019304695800221873,-0.0019964943208668263,-4.021811625032345e-06,0.10449236358517693,0.0050704990062774066,0.00048027133822433623,-0.004531911399489908
0.024947729081515713,0.011829751932337883,0.00015681275545308403,-0.0017873281804324126,-0.0012922719976258268,0.0,0.08582513860224197,0.0020368796622287633,0.002706284650560542,-0.004922234362564537
0.01282809463441723,0.027405581330006302,0.005629496824000502,-0.0011275718237495514,-0.001762102749187977,0.0,0.092086927726359,0.002859904803636637,-0.00039302785313131137,-0.0006492485641939383
0.008051005394801414,0.008758018636586628,0.010096714075527258,-0.0005704757233937708,3.9234919078645625e-06,0.0,0.08572358999509569,-0.00018989700833736966,0.001759686120647419,-0.0008109857773417994
0.01734553876556888,0.015746643925710103,0.0031055881075706337,-0.0011910680907036507,0.0013336186442278407,0.0,0.13268876147799438,-0.004242531043293774,0.003756348691870559,0.002939436469025969
0.03161823252026018,0.018041280217562815,-0.002186898966358486,-0.0007656873188945923,0.00620403058386384,0.0,0.0949655876995568,0.008698876919217457,0.003589568328322057,-0.00507731405905173
0.015947358531806077,0.02975999202401993,-0.0002630539567380241,-0.00011043664656059659,0.005004735738142396,0.0,0.09944666638546218,-0.0006317513028073595,0.004350743721791617,0.0025902762066545293
0.03461705863259468,0.031192643630676663,-0.00018590102983264689,-0.0020430670719112087,-0.0012186845289031468,0.0,0.08590619375018446,-0.0016115111097996348,0.0020471244356576324,-0.00017594204609162613
0.01683189583453081,0.01803443341572102,0.002461042320247109,-0.0015059703343810681,0.002488572111413967,0.0,0.07792988071432246,-0.0003766438461841104,6.685806426238727e-05,-0.0014572637807781508
0.02799961536543851,0.013837584494953514,-0.005083942931627605,-0.0007539549692647917,-0.00048257391750297087,0.0,0.09956514925957852,0.006968296140120988,0.00022579473335571087,-0.003582443569123783
0.006424253391239099,0.024435351991850283,0.00427892606294572,-0.0008578628491769713,-0.0020186585169695735,0.0,0.11056779797329903,0.01498076510642864,0.002739464371883582,0.00017458849391455145
0.02865423667653231,0.011432673445963281,0.0010541307260296007,-0.00014702551641277984,0.0003324388961185476,0.0,0.13050069290093239,0.013332488800340835,0.00244492301314011,0.00195375030230438
0.01397964708352215,0.011836808356260798,0.004469465100604442,-0.00030533057836015234,0.01035914094928717,0.0,0.08468374897333057,0.0035328478982280865,0.001162392406881574,-0.002266591531035744
0.026899344154978234,0.0244889217552239,0.003771411945835168,-0.0007277738041839954,0.0009649771484682601,0.0,0.1182408159471768,0.005182105088759293,0.0012535004667288963,0.0033172099714305235
0.014591209707713992,-0.0002588218265032083,0.0031434272696882148,0.0007326966752940645,0.003616957482225391,0.0,0.06529030434827561,1.2406905131978618e-05,0.0030996584654726213,0.00440548523061336
0.011949111031679848,0.031557051511179955,0.0038812105325866874,-0.00042363345115635774,-0.00035710976077947266,0.0,0.13456948250526235,-0.0034109112090763396,0.0008793703747832171,0.0005272250685094737
0.001142713314875421,0.018015892991981586,-0.006049045341771253,-0.000796087878896834,-0.005138973787350343,0.0,0.08796663190823774,0.0022052425299341925,0.0011991657977059478,-0.007382150947466848
0.020886709524033008,0.02391351101934843,-0.0015610091814868055,0.00019004270095260845,-0.0006729701406159138,0.0,0.07411469819967784,0.02438451191090678,0.0014914050646771093,0.004700624090845151
0.028836154441863004,0.023750024404052994,0.002630756916108601,-0.0004936126458549017,-0.004507265900054036,0.0,0.1090298250066704,0.004808249220697236,0.0011915685623734684,0.005797752224022679
0.03467931879424677,0.013326817216124642,0.012820121226930537,-0.0006655263461551875,-0.004037956382740471,0.0,0.08093662397252367,0.00955765066824137,0.001272339761211405,-0.008048083514902271
0.03246332819349471,0.006880858003213064,0.00817839814642889,-0.00020222977500424787,0.004328363028683502,0.0,0.10381855024259498,0.008760061032219501,3.875061556966042e-05,0.0017524562239139673
0.011596679266124676,0.022480108389858255,-0.004055126943854792,-0.0004487478209841744,0.004665251385077363,0.0,0.10733055454874951,-0.008916705500612776,0.004705379795992282,0.005706432627418434
0.004190096334074378,0.022955988550339278,0.009428897316304174,-0.00044716155936239674,0.007233047091815259,0.0,0.09998982898159049,-0.012676358194208304,-0.00026553623062055556,-0.004329947837205572
