total_claim_charge_amount,days_taken_for_claim_filing,patient_age,mins_mean_quantity,units_median_quantity,count_of_unique_HealthCareDiagnosisCode,count_of_lineitems,count_of_holidays,noise
0.027421758569299525,0.03920669494439981,0.015545110627077807,0.0010202911842255857,-5.731972945091091e-05,-0.017964003209904867,-0.002946234093775113,0.005112919867018206,-0.000171959188352655
0.026215022091310713,0.024379743967372792,-0.02552396057550701,-0.00018126203693213938,-7.930214115781098e-05,-0.0024017219893509023,-0.004950719383709135,-0.001472754050073677,-0.0012575053812167725
0.024938339271033165,0.050726226363387236,-0.03143326938887364,0.0017813099479309312,0.0017402027952864052,-0.006494930117840492,0.00016442861057824887,0.006782680186352452,0.0023431077007399436
0.003753938895739184,0.03256610494588305,-0.0005206192629126805,-0.0012878476503630277,-0.0002329086176187989,0.0021646800931634956,0.005576106315933716,-0.011782435950130121,-0.010261679682148205
0.034191535010727525,0.06773941876340941,0.02363955529549445,0.0004095962551199595,0.0005461283401599681,0.0064365125804564105,0.01417983226058125,0.00741174175931345,0.011371172225473004
0.02138792505204714,0.05851492019430947,-0.0033032616238723666,-0.00048577376821654636,-0.006245662734212387,0.011714087439278242,0.006370575988896554,0.005607217210270599,0.014628730048577333
0.05888954518606031,0.06709982279976377,0.013656231541642094,0.00015357353809809516,-0.0026580035440046832,0.01258121677495575,0.01033668044890731,0.00799763733018316,0.012852923803898441
0.005086032388664019,0.012171052631578999,0.003618421052631626,0.0015055668016194846,-0.0026821862348177738,0.00859058704453448,0.0070470647773279715,-0.006465080971659876,0.01478997975708507
-0.03580596451491126,0.06825217063042659,-0.005936202340505847,-4.718761796904669e-05,-0.0003397508493771073,-0.0028784446961117372,-0.012306530766326906,0.015364288410721027,0.001642129105322776
0.016874999999999928,0.045798611111111054,-0.02047453703703709,0.0,0.005115740740740693,-0.007627314814814867,-0.011192129629629666,-0.0108217592592593,-0.002187500000000031
