total_claim_charge_amount,units_sum_quantity,days_taken_for_claim_filing,patient_age,units_mean_quantity,count_of_lineitems,LOS,count_of_total_dx_codes,units_median_quantity,count_of_OccurrenceInformation,count_of_holidays,noise
0.008026891752136,-0.0028241232117351745,0.03012486427058094,-0.00029666815702891205,0.0008993815223167223,-0.004391993357242529,-0.00037915902799388055,0.004362231412034456,0.0008212394287337443,0.0014772253169511474,0.06275965258704692,0.004060670880450734
0.01661273506245454,-0.0019694283736701014,0.05011492104471552,-0.0004961172165451222,0.003340449579304272,-0.00287580057767175,-0.0021481619934055505,0.0010840836543432042,0.0014876945407392927,-0.0028962439655499717,0.061652146993799804,0.003718214182454327
0.005577051264164667,-0.004558433706924636,0.036376009549055136,-0.00110046660155948,0.0005245779658652139,-0.006833465097893343,-0.0033496101319196113,0.0002653118169557489,0.0007922925483265564,-0.0028436342215815034,0.07455920879257157,-0.0012428498349067673
0.008027308061258998,-0.005874147824179121,0.037868075095567,0.002446707482492072,-0.0013458652757470158,-0.004184929960235784,-0.002157644319388363,-1.8576912421064406e-05,0.00036625343712918255,-0.0032439132586306483,0.06527478616532492,0.005062208634741083
0.01395731008342187,0.00018692527172774475,0.03333603875729,0.0007115543915724443,0.003321312325855752,-0.002418983708885236,-0.0005602737777480327,0.0013876314710533411,-0.0015303774484784149,-0.002732589760109794,0.06947813208604921,-0.0007850192029319025
0.01698807672984807,-0.004079138493551404,0.05376362731555985,0.0008101267626878461,-0.00046177581781708943,0.001863255923331897,-0.0009291338021561347,0.004998889505170634,0.0008747373709421024,-0.0026050902232510388,0.06518794679601456,0.003031413345178613
0.017507769656585525,0.0010665162954737073,0.05308877926714136,0.0018164352270347184,0.0012836075311862816,-0.0013821810136280365,-0.0007570213877194587,0.002530698393840569,0.00023947473390903973,-0.0028330908454361594,0.08333562907673812,0.0021293020079146243
0.008266168526595008,-0.007587442231475316,0.02969118031928809,0.0023996759164214955,-0.001057189468224029,-0.0071528756149047525,-0.00133535598261737,-0.002919494692896385,0.002159512432867783,-0.004036627086053024,0.07904066245943073,0.0016903121263361354
0.004155849925584776,0.0002018466824135645,0.05066499818589737,-0.002059265621644835,-0.00036045108216773423,-0.0017536818878514215,-0.0015074082027056069,-0.0013939712557292205,0.0012395133762300725,-0.004270471592634018,0.07129260364449512,0.0019194686530473292
0.010864026540833904,-0.0036752129869711547,0.047202744270690745,0.002654163915417196,-0.0005047267807965716,-0.0019085887298085137,5.7977549804411055e-06,-0.0018063227739036568,1.610487494563273e-06,-0.0010017232216191884,0.08958223954390995,-0.0024679110366708002
0.0033275731542739993,-0.006968664625917576,0.03207654455087054,-0.0034455745367170665,-0.0008864092689510495,-0.004770415720351584,-0.0015124584444225597,-0.005245795069286785,-0.0013200684638426051,-0.0023850432836312607,0.0569089233402455,-0.0003656890819920933
