total_claim_charge_amount,units_sum_quantity,days_taken_for_claim_filing,patient_age,LOS,count_of_lineitems,count_of_total_dx_codes,units_median_quantity,count_of_ExternalCauseOfInjury_HI,count_of_holidays,days_sum_quantity,count_of_total_pcs_codes,count_of_other_subscribers,noise
-0.00955998733776513,0.001297879075656838,0.00642608420386197,0.03969610636277302,0.0022475466919911315,0.0016460905349794052,0.00791389680278568,0.016144349477682795,0.01358024691358023,0.00015827793605571738,0.0011712567268122754,0.0007597340930674101,-0.0005698005698005603,0.015416270971826518
-0.007809894385769844,-0.004391328515842108,0.020872707059477524,-0.01756531406336851,0.0008060033351862228,-0.001778765981100583,0.012784880489160677,-0.0003891050583657241,0.0020844913841022716,0.003891050583657607,-5.558643690939391e-05,-0.00016675931072818173,0.00022234574763758675,-0.004627570872707032
0.01295582567447372,0.004120960569226162,0.00773791876667651,0.007144974799881354,0.0008301215535131412,-0.001749184702045703,0.0007708271568336422,0.006285206048028425,-0.0064927364364067985,0.012718648087755668,-0.00011858879335906458,0.00026682478505777316,-0.000266824785057862,0.000741179958493865
0.023021582733812985,0.01424811370415865,0.03367257413581336,0.02839094577996144,0.004000701877522406,-0.0023337427618880134,0.013791893314616643,-0.0014213019828039797,0.004790314090191284,0.0004913142656606806,-0.00026320407088958886,0.0,0.0044744692051237435,0.00528162835585193
0.0025034770514603677,0.005354659248956872,-0.008518776077885959,0.002364394993045893,-0.0007301808066759507,0.002781641168289284,0.008310152990264252,-0.0020514603616133553,0.02127955493741308,-0.0003824756606397806,-0.0013560500695410482,-0.0007301808066759507,-0.003198887343532686,0.00027816411682893836
0.009592499098449291,0.01756220699603313,-0.008330328164442884,0.02322394518571939,-0.02394518571943747,0.003498016588532227,0.005048683736025916,-0.007032095203750488,0.008041831950955602,-0.004183195095564407,0.00032455824017307844,0.0001442481067435608,0.001514605120807766,0.0031013342949873512
-0.02114063899671541,-0.008151687070767378,0.025022394744699937,0.008032248432367883,-0.0033741415347865013,-0.005852493281576565,-0.003254702896386963,-0.01275007464914899,-0.0020304568527918622,0.011884144520752472,-0.00023887727679903215,-0.0008062108091967613,0.003792176769184841,-0.005464317706778132
0.007172495554238256,-0.0018079430942501752,0.008209839952578502,0.036573799644339024,-5.9276822762321936e-05,0.002578541790160027,0.0013633669235328717,-0.0009484291641968179,0.01769413159454649,0.0075281564908120545,0.000444576170717248,0.0005038529934795477,0.0009187907528156348,-0.007113218731476046
-0.00694006309148264,0.015096890491212277,0.018251464623704382,-0.006894997746732756,1.1102230246251566e-17,-0.0035601622352410935,0.003965750337990082,-0.0031545741324921052,-0.006624605678233442,-0.010905813429472744,0.0014871563767462903,0.0018026137899954998,0.021045515998197383,0.0025687246507435702
-0.0010635988712828447,0.0007163012806598479,0.011330583894074209,0.0014977208595615243,-0.0005426524853483939,-0.0011721293683525258,-0.0008899500759713575,0.0011721293683524924,-0.00471022357282398,0.014260907314955506,0.0005209463859344399,0.0008899500759713241,0.00299544171912306,-0.011373996092902138
0.005644457375618262,-0.007972068664533039,0.002822228687809125,0.027960430608088414,-0.0011056153622345354,0.010270584812336336,0.014663951120162933,-0.0049170788478324345,0.0005528076811172177,0.018475414605760833,2.909514111142375e-05,-0.00046552225778295764,0.00026185627000290256,-0.010823392493453621
0.018560719640179947,0.006176911544227936,-0.005547226386806559,0.020779610194902588,0.00800599700149931,0.010164917541229435,-0.010644677661169366,2.9985007496280413e-05,-0.007316341829085415,0.009025487256371844,0.0,0.0,0.0022188905547226856,0.005787106446776669
-0.00921938088829074,-0.0023216689098250697,0.0018506056527590631,0.01827052489905786,0.0006729475100942017,-0.018707940780619138,0.004609690444145331,0.0016150740242260931,0.005652759084791359,0.004676985195154748,0.000471063257065929,0.0004710632570659179,0.0016150740242260931,-0.02479811574697176
0.024838061201697598,-0.009068572704936306,0.010989501898592857,0.00951530042439137,-0.012731740004467251,0.0006924279651552623,0.004377931650658973,-2.233638597272103e-05,0.0007147643511280055,0.002501675228947975,0.00118382845655578,-4.4672771945464265e-05,0.006097833370560679,-0.0029707393343756825
0.004329608938547424,0.013463687150837945,0.03589385474860331,0.042039106145251345,0.00036312849162007944,-0.010642458100558716,5.5865921787667804e-05,-0.002094972067039158,-0.017262569832402284,0.016089385474860284,-0.0011452513966480726,0.0010055865921786977,0.0009217877094971572,0.002877094972066985
0.02227642276422769,0.015154471544715498,0.004097560975609815,0.017560975609756158,-0.0015609756097560324,0.004000000000000059,0.02734959349593503,0.012780487804878116,0.024552845528455335,-0.01752845528455279,-0.000325203252032491,3.3306690738754695e-17,0.0016910569105691553,0.004422764227642329
0.010523546435148667,0.004367271770586689,0.011641673243883188,0.022152065245987906,-0.001420678768745065,0.010839252828203116,-0.010786635096027352,-0.002946593001841602,0.0020784004209418727,0.004209418574059454,-0.0001315443304393482,-0.00023677979479083122,0.004472507234938183,-0.013470139436990247
0.015757921781330297,0.005281187553525579,0.02355124179274909,0.010048529831572972,0.0007993148729660504,-0.00028546959748783075,-0.004567513559805869,0.002854695974878718,0.011418783899514728,0.023522694833000336,0.0008564087924636254,0.0011704253497002882,0.005309734513274378,-0.018555523836711364
